AoA_deg,AoS_deg,RunSuccessful,DynamicPressure_Pa,AreaProj_m2,AreaRef_m2,CD_ADBSat,CD_projected,Drag_N,CFx_B,CFy_B,CFz_B,CMx_B,CMy_B,CMz_B,Mx_Nm,My_Nm,Mz_Nm,MomentMagnitude_Nm,ForceCoefficientMagnitude,DragRatioToNominal
45,0,1,0.00015407609581726,0.56165407521864,0.843762977802813,1.39813702556036,2.10039651115136,0.000181762994000756,-0.945671445051937,9.15973086102786e-10,-1.0315928985515,-9.89049642263959e-11,-0.00368624638837659,1.54592656756811e-10,-1.28535385310529e-14,-4.79058966944229e-07,2.00906262469604e-14,4.7905896694423e-07,1.39945646246266,4.69856544735161
60,0,1,0.00015407609581726,0.682350406571459,0.843762977802813,1.71253375698871,2.11764009879476,0.000222635734056807,-0.811624130603975,5.2949318189454e-16,-1.5088722409025,1.95219439587129e-13,-0.00723223202182407,-1.33661732850003e-13,2.53704210741126e-17,-9.39889859777343e-07,-1.73704752511938e-17,9.39889859777343e-07,1.71330942002453,5.75512399064423
75,0,1,0.00015407609581726,0.758606954659773,0.843762977802813,1.91397049673509,2.12881972124315,0.000248823256630555,-0.466901178101312,-4.46563397699222e-15,-1.85638227166011,4.09606937329831e-14,-0.0101853004156503,-3.53120666859681e-14,5.32318937955842e-18,-1.32366613108759e-06,-4.58910241067624e-18,1.32366613108759e-06,1.91419744244066,6.43207030412892
90,0,1,0.00015407609581726,0.78468107607858,0.843762977802813,1.98404092170657,2.13342761437276,0.000257932671516852,3.51606456750206e-05,3.10315559637852e-07,-1.98404092170657,1.12755354128729e-06,-0.01190110863846,9.71382535699831e-09,1.46535141103599e-10,-1.54664995476401e-06,1.26239395046234e-12,1.54664996170616e-06,1.98404092201815,6.66754828063147
0,-90,1,0.00015407609581726,0.0985296132141901,0.843762977802813,0.298896466938359,2.55961395535377,3.88576482374395e-05,2.80763818285631e-06,0.298896466938359,-0.000184623746058774,0.0012327592409592,-2.9683687739475e-06,-0.00178279002061603,1.60207513617924e-07,-3.85764685410259e-10,-2.31688676114491e-07,2.81684644369755e-07,0.298896523971163,1.0044685078912
0,-75,1,0.00015407609581726,0.0968534094633882,0.843762977802813,0.294706985858884,2.56741446011337,3.83130001733417e-05,-0.076271425306546,0.284666255843694,-0.000191246405336887,0.00088660704937086,0.00023497395807363,-0.00170060319231663,1.15222101945315e-07,3.05368577554914e-08,-2.21007801068894e-07,2.51103724766447e-07,0.29470704794685,0.990389379248948
0,-60,1,0.00015407609581726,0.096878198977205,0.843762977802813,0.294823428095403,2.5677716580419,3.83281380955559e-05,-0.147411713888115,0.255324578453571,-0.000169962461272218,0.000805172589857812,0.000462424795108861,-0.00152456970035443,1.04639003601429e-07,6.00960221575986e-08,-1.98130756530334e-07,2.31984158159882e-07,0.294823477086143,0.990780693876282
0,-45,1,0.00015407609581726,0.0972473922985845,0.843762977802813,0.295676300808395,2.56542319684847,3.84390147084922e-05,-0.209066884572352,0.209082550103187,-0.000191143015591127,0.000702891523245251,0.000699776976545553,-0.00124424018699464,9.1346711945649e-08,9.09419501996187e-08,-1.61699559880654e-07,2.06788316292262e-07,0.29567636279908,0.993646849472617
0,-30,1,0.00015407609581726,0.0968633117611678,0.843762977802813,0.294922675232469,2.56903083480449,3.83410405911264e-05,-0.255410528958026,0.147461337521595,-0.000154516296749579,0.000468689357545219,0.000809015085310196,-0.000879128030019881,6.09101551516878e-08,1.05138368458784e-07,-1.14250139980066e-07,1.66784945388492e-07,0.294922715709663,0.991114222822618
0,-20,1,0.00015407609581726,0.0968715769825077,0.843762977802813,0.294370825138485,2.56400496135176,3.82692980340748e-05,-0.276618092165486,0.100680751782249,-0.000240401449811521,0.000306773423125067,0.000836570561440103,-0.000593658497731119,3.98678068920295e-08,1.08719436173105e-07,-7.7150954297979e-08,1.39146065619071e-07,0.294370923301826,0.98925968085977
0,-10,1,0.00015407609581726,0.0968765438172009,0.843762977802813,0.29448141043789,2.56483666724833,3.82836745327619e-05,-0.290007576131971,0.0511361601955828,-0.000223192052110056,0.000155991416410556,0.000884653502200559,-0.000308397739220097,2.02724069214263e-08,1.14968221930069e-07,-4.00789005381107e-08,1.23430064427161e-07,0.294481495018246,0.989631312722222
0,10,1,0.00015407609581726,0.096876543817201,0.843762977802813,0.294458887716055,2.56464050171543,3.82807464954674e-05,-0.289985395580976,-0.0511322491654875,-0.000226697348226541,-0.000155835058664369,0.000883468144616729,0.000308064566945808,-2.02520869068449e-08,1.14814174663624e-07,4.00356019767236e-08,1.2326918168549e-07,0.294458974980666,0.989555623086186
